ID,Location,Country,Flag,Time,PC_HEALTHXP,PC_GDP,USD_CAP,TOTAL_SPEND
130,CAN,Canada,https://flagicons.lipis.dev/flags/4x3/ca.svg,1994,13.613,1.206,272.076,7920.65
166,CHE,Switzerland,https://flagicons.lipis.dev/flags/4x3/ch.svg,1994,10.055,0.853,249.578,1745.5
190,CZE,Czech Republic,https://flagicons.lipis.dev/flags/4x3/cz.svg,1994,28.254,1.564,197.307,2038.89
233,DEU,Germany,https://flagicons.lipis.dev/flags/4x3/de.svg,1994,13.388,1.236,282.377,22996.32
261,DNK,Denmark,https://flagicons.lipis.dev/flags/4x3/dk.svg,1994,9.047,0.731,158.155,823.38
367,FIN,Finland,https://flagicons.lipis.dev/flags/4x3/fi.svg,1994,13.733,1.0,184.471,938.65
416,FRA,France,https://flagicons.lipis.dev/flags/4x3/fr.svg,1994,17.898,1.574,316.56,18780.62
423,GBR,United Kingdom,https://flagicons.lipis.dev/flags/4x3/gb.svg,1994,15.948,0.969,187.466,10847.86
453,GRC,Greece,https://flagicons.lipis.dev/flags/4x3/gr.svg,1994,16.73,1.335,198.096,2082.57
496,HUN,Hungary,https://flagicons.lipis.dev/flags/4x3/hu.svg,1994,30.348,2.248,198.12,2049.23
513,IRL,Ireland,https://flagicons.lipis.dev/flags/4x3/ie.svg,1994,12.097,0.758,128.871,462.7
565,ISL,Iceland,https://flagicons.lipis.dev/flags/4x3/ic.svg,1994,13.419,1.03,244.128,64.94
608,ITA,Italy,https://flagicons.lipis.dev/flags/4x3/it.svg,1994,20.117,1.395,295.781,16813.2
622,JPN,Japan,https://flagicons.lipis.dev/flags/4x3/jp.svg,1994,21.057,1.386,309.352,38656.94
665,KOR,South Korea,https://flagicons.lipis.dev/flags/4x3/kr.svg,1994,22.391,0.769,92.316,4121.13
767,NLD,Netherlands,https://flagicons.lipis.dev/flags/4x3/nl.svg,1994,11.406,0.85,187.466,2883.76
821,NOR,Norway,https://flagicons.lipis.dev/flags/4x3/no.svg,1994,9.282,0.677,155.562,674.61
864,NZL,New Zealand,https://flagicons.lipis.dev/flags/4x3/ne.svg,1994,15.806,1.096,187.377,678.3
919,PRT,Portugal,https://flagicons.lipis.dev/flags/4x3/pt.svg,1994,26.03,1.673,226.69,2264.98
980,SWE,Sweden,https://flagicons.lipis.dev/flags/4x3/se.svg,1994,12.355,0.911,196.493,1725.35
1015,TUR,Turkey,https://flagicons.lipis.dev/flags/4x3/tr.svg,1994,31.628,0.83,75.335,4336.59
1,AUS,Australia,https://flagicons.lipis.dev/flags/4x3/au.svg,1995,12.762,0.882,198.406,3585.59
69,AUT,Austria,https://flagicons.lipis.dev/flags/4x3/at.svg,1995,9.542,0.854,201.335,1600.27
73,BEL,Belgium,https://flagicons.lipis.dev/flags/4x3/be.svg,1995,18.068,1.351,304.259,3084.22
112,CAN,Canada,https://flagicons.lipis.dev/flags/4x3/ca.svg,1995,14.358,1.229,287.512,8439.63
159,CHE,Switzerland,https://flagicons.lipis.dev/flags/4x3/ch.svg,1995,10.097,0.893,266.307,1874.98
191,CZE,Czech Republic,https://flagicons.lipis.dev/flags/4x3/cz.svg,1995,28.28,1.629,222.953,2302.49
255,DEU,Germany,https://flagicons.lipis.dev/flags/4x3/de.svg,1995,13.176,1.253,296.636,24228.65
260,DNK,Denmark,https://flagicons.lipis.dev/flags/4x3/dk.svg,1995,9.329,0.725,164.174,859.18
306,ESP,Spain,https://flagicons.lipis.dev/flags/4x3/es.svg,1995,19.775,1.394,225.894,8973.42
347,FIN,Finland,https://flagicons.lipis.dev/flags/4x3/fi.svg,1995,14.321,1.053,205.851,1051.44
